type,tag,titre,desc,url
lien,Outil,Recommandations,"Une page, les bons réflexes à garder en tête. Pour rester maître de ses données.",https://norsysgroupe.sharepoint.com/:w:/r/sites/Intranet/_layouts/15/Doc.aspx?sourcedoc=%7B816B985D-7002-4010-8645-A6C85B4B8D28%7D&file=Recommandations..docx&action=default&mobileredirect=true
lien,Outil,Glossaire,Le jargon IA décodé en quelques pages,https://norsysgroupe.sharepoint.com/sites/Intranet/Documents%20partages/Forms/AllItems.aspx?viewid=d817ef55%2D88e0%2D4139%2D8258%2D8ab609579fcd&csf=1&ovuser=ea125b8e%2Dd899%2D4c45%2Da9d8%2D55a62bbfa6ca%2Cgducros%40norsys%2Efr&TeamsCID=64d4660b%2Dcab4%2D42c4%2D9679%2D87e839a2394b&OR=Teams%2DHL&CT=1784296346836&clickparams=eyJBcHBOYW1lIjoiVGVhbXMtRGVza3RvcCIsIkFwcFZlcnNpb24iOiI0OS8yNjA2MTExODIxNiIsIkhhc0ZlZGVyYXRlZFVzZXIiOmZhbHNlfQ%3D%3D&CID=672828a2%2Dc017%2D1000%2D0e7f%2Df40a387132ec&cidOR=SPO&FolderCTID=0x0120004879EBFDB6BE3947AEBD789CA8687ABD&id=%2Fsites%2FIntranet%2FDocuments%20partages%2FBoite%20%C3%A0%20outils%2FCahier%20de%20vacances%20IA%20%2D%202026%2FGlossaire%2FGlossaire%2Epdf&parent=%2Fsites%2FIntranet%2FDocuments%20partages%2FBoite%20%C3%A0%20outils%2FCahier%20de%20vacances%20IA%20%2D%202026%2FGlossaire
lien,Outil,Histoire de l'IA,Un petit tour dans le passé pour avancer dans le futur,https://norsysgroupe.sharepoint.com/sites/Intranet/Documents%20partages/Forms/AllItems.aspx?viewid=d817ef55%2D88e0%2D4139%2D8258%2D8ab609579fcd&csf=1&ovuser=ea125b8e%2Dd899%2D4c45%2Da9d8%2D55a62bbfa6ca%2Cgducros%40norsys%2Efr&TeamsCID=167ae3d4%2Dbef9%2D415e%2D90a7%2D99c5ea877546&OR=Teams%2DHL&CT=1784296552562&clickparams=eyJBcHBOYW1lIjoiVGVhbXMtRGVza3RvcCIsIkFwcFZlcnNpb24iOiI0OS8yNjA2MTExODIxNiIsIkhhc0ZlZGVyYXRlZFVzZXIiOmZhbHNlfQ%3D%3D&CID=992828a2%2D4080%2D1000%2D0a55%2D93e8e25963f2&cidOR=SPO&FolderCTID=0x0120004879EBFDB6BE3947AEBD789CA8687ABD&id=%2Fsites%2FIntranet%2FDocuments%20partages%2FBoite%20%C3%A0%20outils%2FCahier%20de%20vacances%20IA%20%2D%202026%2FHistoire%20de%20l%27IA%2FHistoire%20de%20l%27IA%2Epdf&parent=%2Fsites%2FIntranet%2FDocuments%20partages%2FBoite%20%C3%A0%20outils%2FCahier%20de%20vacances%20IA%20%2D%202026%2FHistoire%20de%20l%27IA
lien,Séminaire,Design structurel de prompt,"Le support du séminaire, pour retrouver la méthode complète.",https://companion-app-nrs.vercel.app
lien,Outil,Anti-sèche du bon prompt,"Une page, les réflexes. À garder sous le coude pendant les défis.",https://help.openai.com/fr-fr/articles/6654000-best-practices-for-prompt-engineering-with-the-openai-api
lien,Outil,Les coulisses du quiz,"Les explications derrière chaque réponse. Pour comprendre, pas juste retenir",https://norsysgroupe.sharepoint.com/sites/Intranet/Documents%20partages/Forms/AllItems.aspx?viewid=d817ef55%2D88e0%2D4139%2D8258%2D8ab609579fcd&csf=1&ovuser=ea125b8e%2Dd899%2D4c45%2Da9d8%2D55a62bbfa6ca%2Cgducros%40norsys%2Efr&TeamsCID=0a16e6c1%2Dc9f9%2D4c36%2Db837%2D035705972545&OR=Teams%2DHL&CT=1784296407406&clickparams=eyJBcHBOYW1lIjoiVGVhbXMtRGVza3RvcCIsIkFwcFZlcnNpb24iOiI0OS8yNjA2MTExODIxNiIsIkhhc0ZlZGVyYXRlZFVzZXIiOmZhbHNlfQ%3D%3D&CID=762828a2%2Dc066%2D1000%2D0616%2Ddf0842c42f26&cidOR=SPO&FolderCTID=0x0120004879EBFDB6BE3947AEBD789CA8687ABD&id=%2Fsites%2FIntranet%2FDocuments%20partages%2FBoite%20%C3%A0%20outils%2FCahier%20de%20vacances%20IA%20%2D%202026%2FLes%20coulisses%20du%20quiz%2FLes%20coulisses%20du%20quiz%2Epdf&parent=%2Fsites%2FIntranet%2FDocuments%20partages%2FBoite%20%C3%A0%20outils%2FCahier%20de%20vacances%20IA%20%2D%202026%2FLes%20coulisses%20du%20quiz
lien,Aller + loin,Boite à outils,"Le tour des outils IA norsys, pour choisir le bon outil selon la situation",https://norsysgroupe.sharepoint.com/sites/HarmonisationIA?or=WORD-WEB.BODY.NT&ct=1783876816839
lien,Aller + loin,Découvrir n8n,Le point de départ pour l’automatisation - utile avant les ateliers de septembre.,https://www.data-bird.co/blog/n8n
